Goles Esperados Post-Tiro vs Goles en Contra (PSxG-GA),Goles en Contra,Porcentaje de Paradas,Goles Esperados Post-Tiro por Tiro al Arco (PSxG/SoT),Porcentaje de Paradas en Penales,Porcentaje de Partidos con Portería a Cero,Toques,Porcentaje de Lanzamientos,Saques de Meta,Longitud Promedio de Saques de Meta,Porcentaje de Centros Detenidos,Acciones Defensivas Fuera del Área,Distancia Promedio de Acciones Defensivas,Portero
0.02,0.93,73.5%,0.26,0.0%,41.4%,43.9,15.3%,3.48,30.7,4.2%,1.34,17.6,Alisson
-0.1,1.8,71.7%,0.24,25.0%,18.5%,33.33,39.8%,7.29,43.9,5.2%,0.37,10.6,Alphonse Areola
-0.01,1.91,69.7%,0.3,20.0%,21.7%,32.31,16.1%,7.55,39.2,6.6%,0.95,12.9,Martin Dúbravka
0.01,0.92,67.0%,0.32,0.0%,28.6%,38.95,16.1%,3.19,32.2,8.3%,1.57,16.9,Ederson
0.13,1.64,72.7%,0.3,0.0%,33.3%,30.28,46.9%,6.42,41.5,6.2%,0.24,9.4,Łukasz Fabiański
-0.11,1.77,66.7%,0.31,0.0%,17.1%,46.54,36.9%,7.41,48.2,8.3%,1.24,13.6,Mark Flekken
-0.2,2.65,62.5%,0.32,0.0%,4.3%,38.92,55.6%,8.66,53.1,7.0%,1.45,14.2,Wes Foderingham
0.06,1.61,67.6%,0.34,0.0%,21.7%,31.09,45.7%,6.61,43.0,3.3%,1.09,14.4,Dean Henderson
-0.25,1.53,58.1%,0.32,,25.0%,34.09,55.8%,6.66,53.7,6.5%,0.53,10.9,Sam Johnstone
-0.02,2.25,63.2%,0.34,0.0%,6.3%,42.64,50.6%,9.35,47.1,2.7%,2.22,21.5,Thomas Kaminski
0.18,1.22,70.7%,0.31,,22.2%,47.33,21.3%,3.0,30.6,8.0%,1.33,15.4,Caoimhín Kelleher
-0.1,1.51,70.7%,0.25,0.0%,18.9%,42.73,23.9%,5.32,45.7,4.4%,1.08,14.3,Bernd Leno
0.11,1.33,67.2%,0.35,0.0%,20.6%,44.0,22.9%,4.55,37.9,12.2%,1.8,16.4,Emiliano Martínez
0.61,1.57,79.2%,0.29,33.3%,7.1%,56.57,33.9%,3.64,47.4,13.0%,2.5,16.0,Arijanet Muric
0.03,1.64,71.3%,0.3,0.0%,21.4%,35.29,43.5%,6.61,43.0,6.3%,1.29,14.0,Neto
0.07,1.51,73.5%,0.28,20.0%,25.6%,43.19,31.1%,3.98,45.2,6.3%,1.05,13.0,André Onana
0.04,1.39,65.9%,0.33,,37.5%,45.55,22.4%,3.18,40.7,7.2%,2.09,17.9,Stefan Ortega
-0.31,1.74,65.8%,0.26,0.0%,20.8%,39.91,22.2%,6.31,38.6,6.5%,0.87,12.3,Đorđe Petrović
0.03,1.49,71.6%,0.29,0.0%,35.1%,44.73,58.1%,7.38,47.9,5.1%,1.62,16.3,Jordan Pickford
0.03,1.49,71.6%,0.29,0.0%,35.1%,44.73,58.1%,7.38,47.9,5.1%,1.62,16.3,Nick Pope
-0.06,0.73,73.6%,0.21,40.0%,50.0%,34.38,34.3%,3.7,49.3,12.3%,1.43,16.6,David Raya
0.13,1.82,71.7%,0.31,0.0%,10.3%,34.39,35.4%,7.06,43.1,6.9%,0.91,13.6,José Sá
-0.08,1.61,72.0%,0.25,66.7%,21.4%,42.89,24.3%,4.62,35.7,10.3%,1.74,14.8,Robert Sánchez
-0.26,1.38,60.9%,0.28,0.0%,11.8%,29.59,46.4%,5.88,41.2,3.4%,0.5,10.9,Matz Sels
-0.4,1.9,53.8%,0.34,0.0%,25.0%,41.3,18.6%,2.65,22.3,4.4%,2.45,20.6,Jason Steele
0.12,0.8,73.3%,0.3,,20.0%,46.4,32.8%,6.2,50.1,5.6%,1.6,13.5,James Trafford
0.04,1.2,76.2%,0.25,0.0%,40.0%,30.2,56.5%,5.6,56.5,4.5%,1.0,15.2,Mark Travers
-0.55,1.73,65.4%,0.24,0.0%,9.1%,37.18,39.9%,8.36,45.4,11.9%,1.18,13.2,Matt Turner
0.02,1.08,77.8%,0.23,0.0%,33.3%,41.0,16.9%,3.42,18.0,7.2%,1.63,16.7,Bart Verbruggen
0.02,1.59,65.2%,0.34,0.0%,16.2%,43.27,11.9%,4.81,21.7,7.1%,2.16,16.7,Guglielmo Vicario
-0.82,2.4,50.0%,0.31,0.0%,20.0%,36.2,25.4%,8.8,44.3,3.3%,0.4,10.3,Odisseas Vlachodimos
